,title,link
55,沈卫威：从选院长到选院士,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135930&idx=1&sn=746c2c07cba7f4c4adf14a13be134539&chksm=845a8acfb32d03d9cc46b1ed20969a3a66889c7ea909c047a5ff29cd67849cc90a075ad22fe2#rd
56,《读书》官方商城正式上线,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135930&idx=2&sn=ad8f6cf60ba14e27054b507a9b0131c5&chksm=845a8acfb32d03d9c381a575e88c0dd3af81544b51e7cd5e68a41d39bfaa2f8262db31157fba#rd
57,新刊 | 阎光才：美国学术界的猪肉桶政治,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135902&idx=1&sn=4fabd01ce03b1acd0dcbbd938d7a5e48&chksm=845a8aebb32d03fd5df89cd4526fac0f6951f3c6b3c7526e0c6e4584ddbec26b8439d63aff8e#rd
58,《读书》首发 | 罗志田：凭直觉成大学问：梁漱溟的治学取向和方法,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135884&idx=1&sn=678ddab160d023afb0ae025d9ac0c9ee&chksm=845a8af9b32d03efe0c988659efaaee7eb07d786619fcfc3e7ba32c2e680c9eefd352e31787b#rd
59,读书与自学 | 缪哲：汉代艺术的“开”与“合”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135864&idx=1&sn=cab834bc4b29590e4cadf2578d6f48ae&chksm=845a8a8db32d039bacee097130432be432b9ab386a33d73bf785823a2146ff9405ba9d762fdf#rd
60,顶尖学者开启三联新知大会 | 直播回放,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135864&idx=2&sn=736c695e7a1eed05a0bdf46c3ffc711f&chksm=845a8a8db32d039bcf058fcc38a13b968140b9695e8f13f590b31af1815009a7d901ff00e162#rd
61,《读书》首发 | 李零：说晋楚争霸（上）,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135851&idx=1&sn=252d1cd0bd863fe2f4395253b1cd0dce&chksm=845a8a9eb32d03881a6e2e17501485d87dca4a44e3fe67f3e8c84998d31167e4e6018445e52b#rd
62,新刊速递：2018年第5期目录+封面,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135829&idx=1&sn=a2915a559c7551e98c0b63755840dded&chksm=845a8aa0b32d03b679846fcead625098b64aa30ca751f80c609cc384b900d471aa05275bef74#rd
63,《读书》首发 | 范景中：美术史为什么重要,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135813&idx=1&sn=d0aca9900663a48e920fe38ec7438969&chksm=845a8ab0b32d03a62bce36a0a0442c2a5b9540abd2f98cfb9fee3c7c9772783a55e625dfa947#rd
64,马陈兵：从“盗统”到道统,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135771&idx=1&sn=b1e0d7f58ee634a5ad0416665678266d&chksm=845a8a6eb32d0378a42b4cb24ce1a17851bf19ab650602d3b93b90238b92dfe1297c7d7da243#rd
65,我们需要什么样的“知识”？,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135758&idx=1&sn=00d1600ff697f7c8623a76a18c6039e1&chksm=845a8a7bb32d036d985e233294af39e9b4981a93d228ba19e01a4addfc22295e499aab23a5e9#rd
66,新刊 | 贺玉高：《在花园温室里》的现代文化反思,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135754&idx=1&sn=77654a0418f2b7a2525f09da539885b3&chksm=845a8a7fb32d0369b61b6a061370ad4778e419e08a7cceb58bfd194e9b68ffc9a9ee73f44f9a#rd
67,新刊 | 颜榴：为什么我们需要图米纳斯的“奥涅金”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135751&idx=1&sn=593543179ca364c79c2ce161d845b426&chksm=845a8a72b32d036430eecfbd4c3f262b74e1dd9c48297f30537e2f24842dc1927ffd4702a083#rd
68,读书与自学 | 黄裳：张岱的《史阙》,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135744&idx=1&sn=743e2eee5df8598c073a7f679bda4144&chksm=845a8a75b32d03636255d0fd38f4a3b94267fea05cbd2140565c771e64f88cff785580ed0ba2#rd
69,新刊 | 张明杰：日本谋华：明治维新的再认识,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135730&idx=1&sn=75c850a738f517840faf5d3099e56709&chksm=845a8a07b32d0311b1796cb9c36aa272e0640c194d36baedadd8fb6710395620cfc697590bdf#rd
70,新刊 | 袁一丹：弥散性思想：一种模糊史学,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135698&idx=1&sn=ad284356cee5ce7b81ef5137638f8132&chksm=845a8a27b32d033198d0bdc858ff61fa6abb37daf74394ac7f9945fdbfaa19b306610a22fd28#rd
71,读书与自学 | 汪丁丁：读书的“捷径”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135694&idx=1&sn=f9aa627519525eab6b3992462cc2c86c&chksm=845a8a3bb32d032dd5937f838e7fc2ccae1f595c55685415bd324f293ad9904581f386cd433d#rd
72,新刊 | 周天一：清廷使团访欧观剧考,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135677&idx=1&sn=fed5751ebad52cdaf8af4dd3082d07a1&chksm=845a8bc8b32d02def5188f890088380e0007e4a34827920fa05b8259b838a2fbe488ac1b5001#rd
73,新刊 | 陈彩虹：统治我们的“经济学思想”是什么？,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135672&idx=1&sn=eabdd8b344b8a4a1fb3296fbda9ad014&chksm=845a8bcdb32d02dbe35b4de79de4d2d3347f6761674f4216f43578379d453d663a23f979f74c#rd
74,读书与自学 | 汪晖：关键词与文化变迁,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135633&idx=1&sn=1fd374e67728e65e0d0e3de35c3832a3&chksm=845a8be4b32d02f2e39273861dad997fb73bd6b8b46b26bd40ac9bcb5c32cddb1466c71115d0#rd
75,《读书》首发 | 李黎：纯真博物馆,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135631&idx=1&sn=0266a6dc60103ecb79e3eec97638e421&chksm=845a8bfab32d02ec2eb1db643dfc40273aa427b0f6887c14ceb4c65f190838d00639adc09048#rd
76,《读书》服务日 | 唐晓峰教授谈李希霍芬的地理学与丝绸之路,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652135631&idx=2&sn=3932cbd1be5607ccab56a6961d447a77&chksm=845a8bfab32d02ec3e14cd70bad32852a44c7cecefef10df94138db7f9c4d0e28577d9ecf9e9#rd
