,title,link
65,中读课 | 七位中国媒体圈老炮告诉你：怎样写出好的评论文章？,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652166053&idx=2&sn=968c78639137b8c6520c1f843722f3c9&chksm=845a3c90b32db5862f251715c0814db67fdcf495a0651ede3d126e58fa5101ba61847bc070a7#rd
66,《读书》新刊 | 姜宇辉：游戏何以政治？,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652166036&idx=1&sn=fc184ae4be3f218f269f8849a19e532c&chksm=845a3ca1b32db5b7f52043f155b953d44debe7b36f8bf7fb2eaca993fe098aec4fc06dbc7673#rd
67,《读书》首发 | 陈恒：不灭的亚历山大大帝,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165909&idx=1&sn=19a151d074d833f092abd6e109d2132e&chksm=845a3c20b32db536dccf36d89f9c5df59d1f7fc0262c621886d83182e7b94bad2d0cabc41183#rd
68,中读年卡 | 三联×财新通：买一得二，5折！再降100元！（史无前例）,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165909&idx=2&sn=ceab1250a32f41c5c034b33db96567d1&chksm=845a3c20b32db536fa3e93d9fb1b273fd26102d428e0400957cf3a0f1ee0b6d220a1106c1573#rd
69,《读书》首发 | 王小章：历史能不能假设？,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165809&idx=1&sn=009d33dda91ddbd2ecec4615ebac0247&chksm=845a3d84b32db49218d64c991acb22764d95bca1c4c24a2f2124512cbe51e36d12405735ea04#rd
70,中读课 ｜ 带孩子看山海经动画，你必须了解的几件事,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165809&idx=2&sn=19d149e419ba6fb0504177bb45df16a4&chksm=845a3d84b32db4928319146f59ec9b9bc4517c03d107ba117361d8535e7e8002647d2a27e305#rd
71,《读书》新刊 | 延雨：信札里的俞曲园先生,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165729&idx=1&sn=a107f5d07c8b5eb932c92350d1165f0a&chksm=845a3d54b32db442aaf19d97b0ac30fd3755e7bb49bfe3c2c6010bc24b5f1cedb4ce8497c547#rd
72,中读年卡 | 什么书能随清华大学录取通知书一起寄给学生？,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165729&idx=2&sn=46836b555170cd6540d0a0dfc6bd3cb5&chksm=845a3d54b32db442d97dfb3fd7278e74009ac459cb7a47eb58431021703ec512d0d77ff0432f#rd
73,《读书》新刊 | 江晓原、穆蕴秋：科学“神刊”是怎样办,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165596&idx=1&sn=2e27a9d3235cb75a8cfac60e2d49ee4d&chksm=845a3ee9b32db7ff6ef412be64deaa290c3f3833333159ed607b01d7d1f80feef142e00fd583#rd
74,中读年卡 | 美了1600年的敦煌壁画，在这套书里活过来了！,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165596&idx=2&sn=ad340dbfcf371ca5e6d7312075139541&chksm=845a3ee9b32db7ff5ab6130cba41f96c36890257457d108942c974870701e6e36a232fb3e50e#rd
75,旧锦新样 | 吕微：何其芳的传说,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165427&idx=1&sn=bba0af7346e78018572a2254a643573f&chksm=845a3e06b32db7106be56cf80d072216d7f30243b729fb76146bbb95ec39f497626846eb7681#rd
76,中读年卡 | 三联×财新通：买一得二，5折！再降100元！（史无前例）,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165427&idx=2&sn=92db25d888461e23a7c4f2d14a4163cc&chksm=845a3e06b32db710381ebb2250be3da040f4471ea4f0706362bb4770e80ea64fc4956435dece#rd
77,《读书》视频 | 罗新：一位学者的学术自传,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165308&idx=1&sn=df95e9f1b5a19d246453e9533939c57d&chksm=845a3f89b32db69f4a41624f9aac5151dddab965974be0d781c482694d7d156a1e806116f775#rd
78,中读课 | 为什么思想史在中国这么火？思想史著作能卖到几万本？,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165308&idx=2&sn=3cef91ceb2f7bcc315185e5bf1967ba3&chksm=845a3f89b32db69f0cb7f733b51944716fe7829dcb9fdb6c6a858deb43b8780de59bcafcafdd#rd
79,活动&直播预告｜三联学术论坛03-06期,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165308&idx=3&sn=c5cd4ee35be4b38862cd960941e9d5bc&chksm=845a3f89b32db69fa69fc6b40d61942020fe40ea9acc544ed30bf3e326b242b842b4cc6ea992#rd
80,《读书》新刊 | 陈越：阿尔都塞和孤独,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165148&idx=1&sn=08b550fc99bb943e3f0e5c81a1a3c824&chksm=845a3f29b32db63f39b29612e620153892cca8e5a46ab56655ffefa73ab70222d70c0021b58a#rd
81,中读课 | 说实在的，没有人能绕过传播学,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165148&idx=2&sn=917b727cbe6c2b5bdfaaf6056d8e9694&chksm=845a3f29b32db63fd787b1b17fab6161d1814f76348eefae777bc6b3b695c9797d4c15ab90c9#rd
82,《读书》新刊 | 余明锋：绩效社会的暴力和自由,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165095&idx=1&sn=4d8766c557aed8758025256cee6acb4f&chksm=845a38d2b32db1c4e6c62e40035ff435dac7d8692107077f3745920cdcda3916b6e520f6b7da#rd
83,中读年卡 | 每个成年人心里，都有一个喜欢神话的孩子,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652165095&idx=2&sn=be8c6fd7f65a5bbdb600f76eaff36833&chksm=845a38d2b32db1c4892253ad293fbfc85ebb5af07415c0b98a3ae6a2d6baf341088000b8b8c2#rd
84,《读书》新刊 | 张宝明：灵魂膨胀的解药何处寻？,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652164973&idx=1&sn=345aced0378875b07db47c2d25f61492&chksm=845a3858b32db14e9b88b8a7fdca3b2c2fec951c3d71512b31b425420429b3f55428f0e34711#rd
85,中读年卡 | 这600首璀璨唐诗，被错过了500年,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652164973&idx=2&sn=3a372b25395b8af236e47113f4efef5b&chksm=845a3858b32db14e338f92c7800e751eb6045ba9e28b808b5bcaa480f8df49b05c722a72e8b0#rd
86,三店史话 | 冯淼：《读书生活》与城市劳工的知识革命,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652164878&idx=1&sn=7fca0fe3a746109480630d82ce36056f&chksm=845a383bb32db12dd271e306f7a0243b48fe24a3853bb81e3d34cf40cd4bfe75871b1d054338#rd
