Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
302,【成果发布】再现“民国宁夏”真实面貌的历史实录 ——《民国时期宁夏文献集成》（第一辑）出版发行,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247484998&idx=4&sn=79c3839cf75d914e35fad68af96fe171&chksm=e8836b28dff4e23e168cb5d9073a0e45fb2c299733697ac3ef0545e8e466ceb824768de61fd9#rd,4,2018-11-23,0.0,1.0,1.0,0.0,524.0,0.0,10.0,,,,
303,【工作要闻】宁夏社科院举办“立足新时代、展现新作为”主题交流讨论活动,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247484986&idx=1&sn=64efa8ea5aabea3bc9b75ac04d2a6daa&chksm=e8836b54dff4e242998ceb0f9dc95e6951e035a72ccdd1c4f57757376319b6392f103175cc13#rd,1,2018-11-12,0.0,1.0,1.0,0.0,61.0,0.0,1.0,,,,
304,【工作要闻】张廉院长拜访中国社科院谢伏瞻院长并进行工作汇报,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247484986&idx=2&sn=42b5ae3181a2d258134d98e09b445475&chksm=e8836b54dff4e2428b25562b2797299acfa2d7c34920846fd8427c2bcb86cba2dd492ec86cc6#rd,2,2018-11-12,0.0,1.0,1.0,0.0,81.0,0.0,0.0,,,,
305,【部门动态】2018年度全区地方志业务培训在北京举行,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247484986&idx=3&sn=6c4b4b637c0df530fb9642ddf9c0715c&chksm=e8836b54dff4e242cdfd30e908648d732438a3b6f9084dc9bd3e912b9fd0b990f8d6a0bb0326#rd,3,2018-11-12,0.0,1.0,1.0,0.0,30.0,0.0,0.0,,,,
306,【社科理论】王林伶：全面深化“放管服”改革 激发民营经济创新创造,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247484986&idx=4&sn=156ccdfcb50a56014c54f1fb3e980c64&chksm=e8836b54dff4e242f0045a6fc8d806a84d1c853da74c4b6704f5438fad6b835efc061e94fa99#rd,4,2018-11-12,0.0,1.0,1.0,0.0,54.0,0.0,1.0,,,,
307,【工作要闻】宁夏社会科学院召开领导干部会议 宣布自治区党委干部任职决定,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247484977&idx=1&sn=a742759332589fe7a723636d78b746e1&chksm=e8836b5fdff4e249bb6da60bb89a76c46095e90e14dd9722f7ca2e47b46f971b0a00b2de165a#rd,1,2018-10-20,0.0,1.0,1.0,0.0,140.0,0.0,1.0,,,,
308,建设具有中国特色中国风格中国气派的哲学社会科学,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247484977&idx=2&sn=1fa9c2a84066e277171f4c65ac5e03a5&chksm=e8836b5fdff4e249241cf167562a8aac74fb2fb86bc65851b4cb1a3e6ad01538d1150e8e3950#rd,2,2018-10-20,0.0,1.0,1.0,0.0,37.0,0.0,1.0,,,,
309,【学术交流】院党组成员荀丽丽一行参加在广州召开的第21届全国社会科学院院长联席会议暨智库论坛,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247484977&idx=3&sn=5d52c59afe2eebed5e8feccd267f05a3&chksm=e8836b5fdff4e249313b7c6e98db788b73c778fcb3ca2321cef472ed99822ba5af7c0ee6b4c4#rd,3,2018-10-20,0.0,1.0,1.0,0.0,65.0,0.0,0.0,,,,
310,【学术交流】我院科研人员应邀参加第二届民族地区文化产业发展论坛,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247484977&idx=4&sn=f9cc3d67635c5f2c8ac94e5ab2d7ab44&chksm=e8836b5fdff4e249303ae566c5a9e46572f69cb09e8b5da4bc99aab5b9723004dae2157a4807#rd,4,2018-10-20,0.0,1.0,1.0,0.0,71.0,0.0,1.0,,,,
311,【社科理论】张廉：辉煌的历史成就 宝贵的经验启迪,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247484963&idx=1&sn=68dce3056cb14660bae120d6d5a13c9d&chksm=e8836b4ddff4e25baabfbbe0fe34fe217dee1b8384073ff934c11e6c7317632ebbd648ddd2db#rd,1,2018-9-30,0.0,1.0,1.0,0.0,51.0,0.0,1.0,,,,
