,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
48,2021,1,2021-1,东岳论丛,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,2.0,2.5,2.0,2.5,2.0,2144.0,1072.0,2.0,1392.0,0.0,0.0,0.0,0.0,《东岳论丛》2020年1~12期总目录☀《东岳论丛》2020年第12期
49,2021,2,2021-2,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50,2021,3,2021-3,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
51,2021,4,2021-4,东岳论丛,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,4604.0,1534.6666666666667,0.6666666666666666,1649.0,0.0,0.0,0.0,0.0,《东岳论丛》2021年第3期☀《东岳论丛》2021年第2期☀《东岳论丛》2021年第1期
52,2021,5,2021-5,东岳论丛,2.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,13.0,2.0,6.5,2.0,6.5,3.0,2621.0,1310.5,2.0,1617.0,0.0,0.0,0.0,0.0,《东岳论丛》2021年第4期☀《东岳论丛》再次入选为CSSCI来源期刊
53,2021,6,2021-6,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54,2021,7,2021-7,东岳论丛,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,3193.0,1596.5,1.0,1613.0,0.0,0.0,0.0,0.0,《东岳论丛》2021年第6期☀《东岳论丛》2021年第5期
55,2021,8,2021-8,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,2021,9,2021-9,东岳论丛,3.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,17.0,2.3333333333333335,5.666666666666667,2.3333333333333335,5.666666666666667,3.0,5738.0,1912.6666666666667,2.3333333333333335,2096.0,0.0,0.0,0.0,0.0,《东岳论丛》2021年第9期☀《东岳论丛》2021年第8期☀《东岳论丛》2021年第7期
57,2021,10,2021-10,东岳论丛,3.0,3.0,0.0,2.0,0.0,1.0,1.0,12.0,22.0,4.0,7.333333333333333,4.0,7.333333333333333,4.0,3500.0,1166.6666666666667,4.0,1995.0,0.0,0.0,0.0,0.0,仇雨临等：《中国共产党领导下的中国医保：发展道路与经验总结》☀陈来：略论《论语》的传承与训解☀《东岳论丛》2021年第10期
